Background characteristic,Living with both parents,Father alive,Father dead,Mother alive,Mother dead,Both alive,Only mother alive,Only father alive,Both dead,Total,Percentage not living with a biological parent,Percentage with one or both parents dead*,Number of Children
,,,,,,,,,,,,,
Age,,,,,,,,,,,,,
<2,83.2,15.3,0.6,0.1,0.2,0.4,0,0.1,0.1,100,0.5,0.9,86003
2-4,84.1,12.8,1,0.3,0.4,1.1,0,0.1,0.2,100,1.4,1.6,138223
5-9,82.9,11.1,1.8,0.6,0.8,2,0.1,0.3,0.3,100,2.8,3.3,251330
10-14,81.4,9.2,3.7,0.7,1.4,2.6,0.2,0.3,0.5,100,3.6,6.1,256888
15-17,78.9,7.6,5.8,0.7,1.8,3.8,0.3,0.4,0.6,100,5.1,8.9,151240
,,,,,,,,,,,,,
Residence,,,,,,,,,,,,,
Urban,86.8,6.3,3,0.6,0.8,1.9,0.1,0.2,0.4,100,2.5,4.4,247887
Rural,80.1,12.3,2.7,0.5,1.1,2.3,0.2,0.3,0.4,100,3.2,4.6,635796
,,,,,,,,,,,,,
Gender,,,,,,,,,,,,,
Male,82.4,10.5,2.9,0.6,1,1.8,0.2,0.2,0.3,100,2.6,4.6,456515
Female,81.5,10.8,2.7,0.5,1,2.6,0.2,0.3,0.4,100,3.4,4.5,427120
,,,,,,,,,,,,,
Wealth Index,,,,,,,,,,,,,
Lowest,77.4,13.6,3.5,0.6,1.5,2.3,0.2,0.3,0.5,100,3.4,6,221172
Second,79.2,12.6,3.1,0.6,1.2,2.5,0.2,0.3,0.4,100,3.4,5.1,192797
Middle,82.8,9.9,2.9,0.6,0.9,2.3,0.1,0.2,0.3,100,3,4.4,172018
Fourth,85.4,8.2,2.4,0.5,0.8,2,0.2,0.2,0.3,100,2.7,3.9,158693
Highest,88.3,6.8,1.7,0.6,0.5,1.6,0.1,0.1,0.3,100,2.1,2.6,139004
,,,,,,,,,,,,,
Total age <15,82.6,11.2,2.2,0.5,0.9,1.9,0.1,0.2,0.3,100,2.5,3.7,732443
Total age <18,82,10.6,2.8,0.6,1,2.2,0.2,0.3,0.4,100,3,4.6,883683
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"* Includes children with father dead, mother dead, both parents dead, and one parent dead but missing information on survival status of the other parent.",,,,,,,,,,,,,
