State,Living with both parents, Father alive,Father dead,Mother alive,Mother dead,Both alive,Only mother alive,Only father alive,Both dead,Total,Percentage with one or both parents dead
India,82.7,8.5,2.9,0.5,1.2,3.4,0.2,0.3,0.3,100,4.9
,,,,,,,,,,,
Haryana,87.9,4.2,3.5,0.1,0.9,2.7,0,0.3,0.3,100,5
Himachal Pradesh,80.4,13.1,2.1,0.7,0.6,2.8,0.1,0.1,0.1,100,3
Punjab,87.1,5.2,2.8,0.6,0.9,2.8,0.2,0.2,0.2,100,4.3
Rajasthan,85.6,5.9,2.7,0.4,1.1,3.7,0.1,0.3,0.2,100,4.4
Uttarakhand,84,8.1,3.1,0.6,1.8,1.8,0.1,0.3,0.2,100,5.6
Chhattisgarh,86.6,2.2,3.2,0.6,1.7,4.9,0.3,0.3,0.2,100,5.7
Madhya Pradesh,90.3,1.9,2.8,0.4,1.5,2.4,0.2,0.3,0.2,100,5
Uttar Pradesh,80.3,11.5,2.8,0.4,1.7,2.5,0.1,0.4,0.3,100,5.3
Bihar,70,21.2,2.8,0.3,1.6,3.4,0.1,0.4,0.2,100,5.1
Jharkhand,80.9,8,4.1,0.3,1.6,3.8,0.3,0.5,0.6,100,7
Odisha,82,6.8,3.1,0.5,2.2,4.3,0.2,0.4,0.4,100,6.4
West Bengal,83.1,7.6,3,0.5,0.9,4.3,0.3,0.2,0.1,100,4.6
Arunachal Pradesh,77.1,4.2,3.8,1.3,2.1,8.1,1.4,1,1,100,9.4
Assam,82.3,6.4,4.3,0.3,1.3,3.8,0.5,0.5,0.7,100,7.2
Manipur,82.7,7.5,3.4,1.1,0.6,4.1,0.2,0.1,0.2,100,4.6
Meghalaya,77.4,7.9,5.1,0.8,1.3,5.7,0.1,0.8,0.9,100,8.3
Mizoram,78.6,9,1.8,3.1,0.9,5.7,0.6,0.2,0.1,100,3.6
Nagaland,77.5,5.5,2.7,1.7,1.6,9.6,0.5,0.4,0.5,100,5.7
Sikkim,74.5,4.9,2.4,2.6,2,11.9,0.7,0.4,0.5,100,6.1
Tripura,86.3,4.4,3.1,0.3,1.6,3.6,0.3,0.2,0.2,100,5.5
Goa,81.5,9.9,3.5,1.1,0.2,3.6,0.1,0,0,100,3.9
Gujarat,91,2.6,1.9,0.7,0.4,3,0.1,0.1,0.2,100,2.7
Maharashtra,87.6,3.8,2.9,0.7,0.7,3.8,0.2,0.1,0.1,100,4
Andhra Pradesh,83.9,5.9,2.8,1.3,1,4.4,0.2,0.2,0.4,100,4.5
Karnataka,84.7,5.4,3.8,0.5,0.7,4.2,0.1,0.2,0.4,100,5.3
Kerala,72.8,22,1.5,0.7,0.1,2.3,0.1,0.3,0.1,100,2.2
Tamil Nadu,81.8,9.5,2.9,0.5,0.9,3.6,0.2,0.3,0.2,100,4.5
Telangana,,,,,,,,,,,
Andaman & Nicobar Islands,,,,,,,,,,,
Chandigarh,,,,,,,,,,,
Delhi,90,1.6,2.9,0.5,1.2,3.1,0.1,0.2,0.4,100,4.8
Dadra & Nagar Haveli,,,,,,,,,,,
Daman & Diu,,,,,,,,,,,
Dadra & Nagar Haveli and Daman & Diu,,,,,,,,,,,
Jammu & Kashmir,86.6,5.9,2.4,0.4,1.6,2.6,0.1,0.1,0.3,100,4.5
Ladakh,,,,,,,,,,,
Lakshadweep,,,,,,,,,,,
Puducherry,,,,,,,,,,,
